ID,Description,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Energy,Exhausted,Sleepy,Defecate,Urinate,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowerMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
P36,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,-2;1510.166,1;5,1;5,1.3098;50.296,7.5;303.75,0.5;0;-0.104,0:02,15:00|12:00|18:00,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,P06,-,-,0,S04-C,P37,-,RAK01|NONE,-|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
P37,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,-2;1510.166,1;5,1;5,1.3098;50.296,7.5;303.75,0.5;0;-0.104,0:02,15:04|12:04|18:04,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,P36,-,-,0,S04-C,P38,-,RTU01|NONE,R1|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
P38,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,-2;1510.166,1;5,1;5,1.3098;50.296,7.5;303.75,0.5;0;-0.104,0:02,15:06|12:06|18:06,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,P37,-,-,0,S04-C,P39,-,RTA02|NONE,R1|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
P39,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,-2;1510.166,1;5,1;5,1.3098;50.296,7.5;303.75,0.5;0;-0.104,0:02,15:08|12:08|18:08,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,P38,-,-,0,S04-C,P40,-,RTA01|NONE,R1|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
P40,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,-2;1510.166,1;5,1;5,1.3098;50.296,7.5;303.75,0.5;0;-0.104,0:02,15:10|12:10|18:10,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,P39,-,-,0,S04-C,P41,-,RDP01|NONE,-|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
P41,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,-2;1510.166,1;5,1;5,1.3098;50.296,7.5;303.75,0.5;0;-0.104,0:02,15:12|12:12|18:12,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,P40,-,-,0,S04-C,P42,-,RDP02|NONE,-|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
P42,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,-2;1510.166,1;5,1;5,1.3098;50.296,7.5;303.75,0.5;0;-0.104,0:02,15:14|12:14|18:14,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,P41,-,-,0,S04-C,P43,-,RKM01|NONE,-|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
P43,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,-2;1510.166,1;5,1;5,1.3098;50.296,7.5;303.75,0.5;0;-0.104,0:02,15:16|12:16|18:16,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,P42,-,-,0,S04-C,A27,-,RKM02|NONE,-|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
A27,Membuang sampah,5,0,0,0,1;0,-3;539.351,0.25;8,1.25;9,-3;1294.428,1;3,1;7,1.3098;50.296,7.5;303.75,0.5;0;-0.104,0:02,15:18|12:18|18:18,0,3,10,10,1.5,10,10,7|1;2;3;4;5,P43,-,-,0,S04-M,-,-,RGS01|NONE,R1|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:9:0|-
A185,Pulang ke rumah,-1,0,1,0,0;1,-0.1;1438.256,0.1;8,0.1;2,-1;862.952,0.25;1,0.25;3,1.3098;50.296,3.75;202.5,0.5;0;-0.104,-,17:30|14:30|20:30,0,4.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,-,0,-,A184,-,RGS01|NONE,R1|-,15;L1|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A72,Mematikan rice cooker,5,0,0,0,0;1,-1;539.351,0.25;8,1;9,-1;1294.428,1;3,1;7,1.3098;50.296,15;303.75,0.5;0;-0.104,0:03,-,0,3.5,10,10,1,10,10,1|1,A22;A47,-,-,0,-,-,-,RSL01|NONE,-|-,15;L1|-,1.67|-,-|-,RCooker|-,L2;E2|-,-|-,-,0,0,Room:0:0.1|-
A73,Membereskan mainan agen06,5,0,0,0,1;0,-2.3;1438.256,0.25;8,1.5;2,-2.3;862.952,1;1,1;3,1.3098;50.296,7.5;202.5,0.5;0;-0.104,0:20,-,0,4.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,-,0,-,-,-,RKG02|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2;E2|-,-|-,-,8,-,Room:5:0.1|-
A119,Mengambil Makan,3,0,0,1,0;1,-2;539.351,0.25;8,1;9,-2;215.738,1;9,1;7,1.3098;50.296,15;303.75,0.5;0;-0.104,0:05,-,0,3,10,8,0,0,5,1|1,-,-,-,0,-,B02,-,RMK01|NONE,-|-,15;L1|-,-|-,-|-,RCooker|-,-|-,Food:2|-,-,1,Hunger,Room:0:0.1;DirtyUtensil:0:1;Trash:0:0.5|-
B02,Makan,-1,0,0,1,0;1,-1.5;539.351,0.25;8,1;9,-1.5;215.738,1;9,1;7,1.3098;50.296,11.25;303.75,0;-0.5;-0.104,0:15,-,0,0,0,0,0,0,0,1|1,A119,-,-,0,-,-,-,RMK01|RKG02,-|-,15;L1|15;L1,-|-,-|-,Chair|-,-|L2,-|-,-,1,Hunger,Room:0:0.1;DrinkWater:10:0;DirtyUtensil:0:1|-
B03,Minum,-1,0,0,1,0;1,-1;539.351,0.25;8,1;9,-1;215.738,1;9,1;7,1.3098;50.296,15;303.75,0;-0.5;-0.104,0:05,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RDP02|RST01,-|-,15;L1|15;L1,-|-,-|-,-|Chair,-|-,DrinkWater:0|DrinkWater:0,-,1,Thirst,Room:0:0.1;DrinkWater:10:20;DirtyUtensil:0:1|Room:0:0.1;DrinkWater:10:20;DirtyUtensil:0:1
B05,BAK,-1,0,0,1,0;1,-1;539.351,0.25;8,1;9,-1;215.738,1;9,-1.25;7,1.3098;50.296,15;303.75,0;-0.5;-0.104,0:05,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RKM02|RKM03,CC|-,15;L1|15;L1,-|-,-|-,Closet|Closet,D2|D2,Water:3;Water:0|Water:3;Water:0,-,1,Urinate,Room:0:0.1;Water:0:-3;Water:11:-0.066|Room:0:0.1;Water:0:-3;Water:11:-0.066
B06,BAB,-1,0,0,1,0;1,-1;539.351,0.25;8,1;9,-1;215.738,1;9,-1.25;7,1.3098;50.296,15;303.75,0;-0.5;-0.104,0:10,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RKM02|RKM03,CC|-,15;L1|15;L1,-|-,-|-,Closet|Closet,D2|D2,Water:4.5;Water:0|Water:4.5;Water:0,-,1,Defecate,Room:0:0.1;Water:0:-4.5;Water:11:-0.066|Room:0:0.1;Water:0:-4.5;Water:11:-0.066
